LocationDesc,Class,Data_Value,Age(years),GeoLocation,LocationID
Alabama,Physical Activity,39.3,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,16.8,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,40.2,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,43.4,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,27.2,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,16.3,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,17,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,12.4,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,9.5,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,10.7,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,25.8,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,20.9,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,22.8,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,22.1,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,23.5,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,28.7,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,41.6,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,28.3,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,17.7,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,20.3,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,28.3,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,22.5,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,27.2,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,29.8,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,35.3,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,37.9,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,39.8,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,23.9,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,31.3,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,34.1,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,39.7,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,40.3,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,26.9,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,26.4,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,35,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,34.2,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,35,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,35.3,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,40.2,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,15.2,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,21.4,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,27.9,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,29.6,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,34.2,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,32,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,19,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,30.4,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,36.7,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,40,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,37.1,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,28.4,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,35.1,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,24.8,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,38.6,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,32.2,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,35.1,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,38.4,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,41.5,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,51.2,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,43.3,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,48.8,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,50.2,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,47.1,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,37.6,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,21.9,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,21.4,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,25.3,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,27.7,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,25.9,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,36,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,49.5,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,50.6,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,40.7,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,44.3,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,40.9,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,47.3,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,26.5,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,20.7,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,16.2,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,14.7,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,10.5,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,11.3,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,30.6,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,24,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,28,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,25.6,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,32.6,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,25.6,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,26.5,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,44.9,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,26.3,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,20.9,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,17.5,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,17,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,34,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,36.9,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,34.9,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alaska,Obesity / Weight Status,30.3,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alabama,Physical Activity,32.8,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,22.2,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,24.2,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,20.4,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,31.7,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,40.9,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,39.9,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,37.4,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,28.9,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,26.3,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,32.3,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,31.3,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,33.5,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,39,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,19,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,20.2,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,25.4,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,31.6,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,32.3,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,33.7,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alaska,Obesity / Weight Status,19.8,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,23.5,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,29.5,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,29.2,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,33.4,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,29.3,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,32,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,38.7,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,38.9,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,43.3,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,38.9,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,40.9,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,28.8,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,33.3,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,35.8,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,42.3,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,43.6,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,45,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,29.1,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,32.6,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,18.8,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,18.4,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,17,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,16,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,22,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,32.3,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,62.8,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,57.6,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,55.3,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,56.2,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,26.6,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,58.2,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,58.9,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,34.9,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,27,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,20.1,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,22.2,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,25.2,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,20.1,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,19.8,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,21.1,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,32.4,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,35.7,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,32.3,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,38.8,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,43.3,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,46.6,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,51.9,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,36.4,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,30.8,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,32.4,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,24.2,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,16.1,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,18.1,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,24.7,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,26,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,27.4,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,9,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,26.8,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,32.5,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,37.7,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,40.9,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,37.8,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,40.6,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,46.1,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,13.9,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,12.8,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,15.5,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,20.6,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,21.5,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,29.6,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,12.6,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,28.1,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,33.5,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,29.8,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,33.1,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,30.4,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,23.2,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,31.3,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,36.2,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,37.5,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,45.2,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,35.3,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,38.7,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,15.5,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,53.1,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,35,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,43.8,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,41.2,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,34.5,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,31.7,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,13.8,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,21.9,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,30.6,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,16,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,15.8,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Fruits and Vegetables,19.3,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,59.6,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,63.2,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,47.4,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,54.4,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,53.1,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,53.4,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,34.9,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,33.8,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,20.5,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,21.9,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,19.4,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,19.6,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,40.7,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,39.5,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,31.1,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,35.2,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,35.3,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,37.8,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,49.7,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,46.6,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,34.7,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,31.6,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,27.5,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,25.8,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,21.9,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,28.2,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,14.4,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,31.8,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,14,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,28,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,33.6,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,35.2,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,34.5,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,29.6,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,29.8,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,30.2,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,35.9,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,35.8,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,38.7,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Obesity / Weight Status,41.3,65 or older,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,16.8,18 - 24,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,11.9,25 - 34,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,15.1,35 - 44,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,21,45 - 54,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,24.8,55 - 64,"(64.84507995700051, -147.72205903599973)",2
Alaska,Physical Activity,27.9,65 or older,"(64.84507995700051, -147.72205903599973)",2
Arizona,Obesity / Weight Status,18.7,18 - 24,"(34.865970280000454, -111.76381127699972)",4
Arizona,Obesity / Weight Status,23.6,25 - 34,"(34.865970280000454, -111.76381127699972)",4
Arizona,Obesity / Weight Status,25.4,35 - 44,"(34.865970280000454, -111.76381127699972)",4
Arizona,Obesity / Weight Status,29.6,45 - 54,"(34.865970280000454, -111.76381127699972)",4
Arizona,Obesity / Weight Status,29.9,55 - 64,"(34.865970280000454, -111.76381127699972)",4
Arizona,Obesity / Weight Status,22.6,65 or older,"(34.865970280000454, -111.76381127699972)",4
Arizona,Obesity / Weight Status,27.7,18 - 24,"(34.865970280000454, -111.76381127699972)",4
Arizona,Obesity / Weight Status,36.7,25 - 34,"(34.865970280000454, -111.76381127699972)",4
Arizona,Obesity / Weight Status,38.6,35 - 44,"(34.865970280000454, -111.76381127699972)",4
Arizona,Obesity / Weight Status,41.9,45 - 54,"(34.865970280000454, -111.76381127699972)",4
Arizona,Obesity / Weight Status,39.3,55 - 64,"(34.865970280000454, -111.76381127699972)",4
Arizona,Obesity / Weight Status,40.2,65 or older,"(34.865970280000454, -111.76381127699972)",4
Arizona,Fruits and Vegetables,25.9,65 or older,"(34.865970280000454, -111.76381127699972)",4
Arizona,Fruits and Vegetables,35.8,55 - 64,"(34.865970280000454, -111.76381127699972)",4
Arizona,Fruits and Vegetables,36.9,45 - 54,"(34.865970280000454, -111.76381127699972)",4
Arizona,Fruits and Vegetables,38,35 - 44,"(34.865970280000454, -111.76381127699972)",4
